Gene_Symbol	log2FC	p-value
UGT1A7	5.39	8.80E-06
SPRR2B	5.32	7.10E-05
KRT6C	5.12	6.50E-04
SERPINB4	4.95	5.80E-05
LCE3A	4.53	5.60E-05
LCE3E	4.39	3.30E-07
S100A9	4.25	3.70E-06
MMP12	4.09	2.20E-03
PI3	3.94	8.70E-04
HEPHL1	3.9	2.80E-04
S100A7A	3.74	8.10E-03
S100A7	3.68	4.60E-06
DEFB4A	3.51	4.80E-03
LCE3D	3.49	1.30E-07
XIST	3.34	6.80E-02
S100A8	3.23	1.50E-04
KRTAP4-8	3.21	4.20E-02
KRTAP4-12	3.13	4.10E-02
ATP12A	3.11	4.20E-03
KLK9	3.09	9.20E-09
C10orf99	3.08	3.70E-06
KRT16	3.05	1.30E-04
KRT25	2.97	1.60E-01
SERPINB3	2.94	2.40E-10
PRSS27	2.94	3.70E-06
SPRR1A	2.92	4.20E-05
LCN2	2.9	4.50E-04
KRTAP1-5	2.88	2.90E-02
SPRR2F	2.84	3.30E-02
IGFL1	2.82	1.70E-03
KLK6	2.75	4.60E-03
IL36A	2.73	7.40E-03
LTF	2.68	2.90E-02
TMPRSS4	2.66	5.90E-04
SPRR1B	2.63	1.10E-05
MMP1	2.61	1.20E-02
SPRR2G	2.54	8.70E-04
PRR9	2.51	5.20E-03
CD177	2.47	2.00E-03
KRTAP4-5	2.47	4.60E-02
CCL18	2.46	1.80E-03
CHI3L2	2.46	4.20E-03
AKR1B10	2.44	2.60E-04
FOSL1	2.39	2.30E-03
HTR3A	2.39	1.80E-04
TCN1	2.35	2.00E-02
SPRR2E	2.34	9.30E-04
INA	2.32	7.20E-06
CXCL10	2.27	4.50E-02
TMC5	2.23	1.90E-04
KRTAP5-2	2.22	1.20E-02
HBEGF	2.21	7.80E-03
FMO2	2.21	7.20E-04
PRSS22	2.14	1.10E-03
PLA2G2F	2.12	8.80E-06
TCHH	2.11	1.40E-01
GDA	2.11	1.50E-02
CXCL9	2.1	5.70E-02
IL36G	2.07	1.50E-05
FABP9	2.06	2.70E-01
KRT27	2.05	1.20E-01
LOC105373098	2.03	5.90E-04
KRTAP5-3	2.01	1.40E-02
KRTAP5-8	2	6.10E-02
RAB3B	-2.01	2.80E-04
DDX3Y	-2.07	8.80E-02
LOC107984005	-2.09	2.00E-03
TTTY15	-2.39	6.00E-02
USP9Y	-2.4	3.50E-02
LINC01698	-2.46	1.90E-02
BTC	-2.5	2.10E-04
KDM5D	-2.58	7.50E-02
LCE5A	-2.66	1.00E-04
LOC102724427	-2.66	3.80E-05
EIF1AY	-2.82	4.40E-02
UTY	-2.88	6.50E-02
RPS4Y1	-3	8.80E-02
UGT3A2	-3.36	2.10E-04
