Gene_Symbol	log2FC	p-value
SERPINB4	5.38	1.70E-04
S100A9	4.91	4.70E-05
AKR1B10	4.43	2.20E-06
KRT16	4.29	7.80E-05
KRT6C	4.17	9.80E-04
LTF	3.64	7.60E-05
MMP12	3.33	4.80E-04
S100A8	3.29	2.00E-05
PI3	3.27	3.20E-03
CEP55	2.7	7.10E-06
CCL18	2.64	1.40E-03
CDC20	2.6	2.40E-05
TYMP	2.56	1.10E-04
IFI27	2.55	5.90E-06
SERPINB3	2.51	1.70E-02
RRM2	2.49	5.90E-06
NCAPG	2.46	9.00E-06
KIF20A	2.45	8.40E-06
CCNB1	2.33	2.00E-04
KIF18B	2.29	9.00E-06
NDC80	2.26	2.00E-05
UBE2C	2.16	1.40E-05
WNT5A	2.16	5.10E-06
APOBEC3B	2.13	5.10E-06
SCO2	2.12	7.40E-04
IRF7	2.11	2.40E-05
DLGAP5	2.04	5.80E-04
TOP2A	2	2.70E-05
ECM2	-2.01	3.80E-04
VGLL3	-2.02	2.00E-04
ACKR3	-2.05	5.00E-04
AKR1C3	-2.06	4.70E-05
DCN	-2.07	2.70E-04
PSG4	-2.07	3.10E-04
CILP	-2.08	5.30E-04
ALDH1A1	-2.08	2.30E-05
ARG1	-2.1	2.20E-02
HPGD	-2.12	5.00E-05
OGN	-2.13	1.20E-04
G0S2	-2.15	3.50E-03
EREG	-2.15	7.30E-03
APOD	-2.21	1.20E-02
AQP9	-2.22	1.80E-07
FLG	-2.23	5.10E-03
TMEM255A	-2.24	6.80E-05
MFAP4	-2.24	4.70E-04
SLURP1	-2.24	3.30E-03
CPA3	-2.25	8.10E-04
COCH	-2.25	3.50E-04
FAR2	-2.25	1.70E-02
LYVE1	-2.26	7.00E-05
KRTAP4-7	-2.3	1.40E-02
CFD	-2.34	4.20E-04
OMD	-2.35	3.40E-06
SCEL	-2.35	5.50E-05
OLFML3	-2.35	2.30E-04
CFH	-2.36	1.60E-03
RBP4	-2.37	7.40E-03
GAL	-2.43	1.90E-02
KLK5	-2.43	7.70E-04
LPL	-2.44	4.80E-03
FHL1	-2.44	1.90E-04
FBLN1	-2.45	1.30E-05
CITED2	-2.48	4.10E-07
GREM1	-2.49	8.80E-04
PLIN1	-2.62	4.00E-03
ABCA8	-2.63	3.60E-04
PCOLCE2	-2.74	8.30E-05
DKK2	-2.76	5.60E-05
CTSV	-2.77	6.30E-06
BTC	-2.78	2.50E-06
ADIPOQ	-2.85	1.20E-02
AGTR1	-2.86	5.80E-06
CDSN	-2.89	2.50E-04
CHRDL1	-2.94	1.30E-04
PSORS1C2	-2.96	3.60E-07
OSR2	-2.99	4.00E-05
SERPINB7	-3.02	1.40E-05
MFAP5	-3.04	4.20E-05
MSMB	-3.11	5.80E-06
PDGFRL	-3.16	4.70E-06
WISP2	-3.37	9.00E-05
HSD11B1	-3.5	5.10E-06
C1orf68	-3.52	1.70E-06
CRCT1	-3.59	2.30E-05
IL37	-3.69	9.70E-09
LINC00302	-3.74	3.40E-06
CST6	-3.75	1.40E-04
WIF1	-3.85	4.10E-05
ADH1B	-3.93	9.90E-05
HBB	-4.02	5.30E-05
LOR	-4.39	1.00E-04
LCE2B	-4.4	2.60E-06
