Gene_Symbol	log2FC	p-value
LCE3A	7.479031	3.60E-55
SERPINB4	7.179486	1.29E-43
IL36A	6.936098	1.45E-25
DEFB4B	6.877666	4.72E-15
DEFB4A	6.575763	2.48E-26
SLC5A5	6.563283	5.89E-29
S100A7A	6.495736	1.32E-27
G35484	6.389064	8.44E-31
MMP1	6.289972	6.11E-31
NTRK1	6.252731	1.13E-23
SPRR2A	6.108067	5.43E-27
CD177	6.088659	1.57E-20
SPRR2B	5.94936	4.62E-33
SPRR2F	5.920545	1.84E-23
S100A8	5.752967	2.00E-35
S100A9	5.710103	2.29E-34
IL22	5.67385	1.33E-25
S100A7	5.634482	6.42E-36
MMP12	5.630443	9.80E-25
LTF	5.599146	7.49E-30
LCE3D	5.423689	3.49E-63
HEPHL1	5.316009	1.94E-43
IL20	5.30992	2.35E-20
LCE3E	5.285365	7.59E-49
IL19	5.20333	4.41E-07
TCN1	5.118271	1.89E-20
LGALS9C	4.979398	9.02E-14
APOBEC3A	4.964041	4.86E-27
SPRR2C	4.951067	6.78E-11
KRT16	4.941924	1.13E-32
CXCL6	4.920878	2.81E-07
AKR1B15	4.840855	2.73E-41
CYP4F35P	4.838718	2.55E-11
LINC01215	4.824041	3.89E-31
CCL18	4.798442	3.07E-31
IL13	4.751647	8.82E-27
AL591704.7	4.748834	1.89E-13
PI3	4.598326	2.52E-27
LCE3C	4.576267	1.26E-08
SPRR2G	4.570166	9.57E-38
G2608	4.54074	3.67E-15
IL26	4.532362	2.71E-21
MIR31HG	4.509895	9.16E-13
SH2D5	4.509482	2.53E-20
RP11_430H10.3	4.447112	1.22E-12
LINC01206	4.419635	3.87E-14
S100A12	4.396019	5.06E-14
HSPD1P3	4.370696	3.95E-09
RP11_430H10.2	4.340271	5.77E-19
SOST	4.333661	1.81E-10
KRT6C	4.326399	7.26E-11
TBX20	4.304007	6.97E-08
RP11_757O6.1	4.260138	2.52E-10
SPRR2D	4.236436	5.73E-43
CXCL8	4.224304	8.02E-15
CXCL1	4.219602	1.47E-19
G33755	4.202595	8.23E-22
KRT16P1	4.183291	2.26E-14
AC069363.1	4.165436	1.81E-18
FOSL1	4.15665	7.02E-30
AKR1B10	4.155026	1.89E-45
SERPINB3	4.113621	1.36E-49
ABCG4	4.101216	3.98E-25
G39634	4.092756	2.73E-35
B3GNT6	4.071417	1.60E-11
CHAT	4.05267	8.80E-08
HRH3	4.029619	5.14E-19
TNPO1P2	4.023175	5.22E-06
G25251	4.021039	1.48E-10
DEFB103B	4.014252	3.47E-11
KRT6A	4.008746	1.17E-25
RUFY4	4.003606	1.43E-24
CXCL13	4.00169	3.79E-07
XLOC_009602	3.991758	1.51E-34
PHBP16	3.989821	3.86E-12
XLOC_007053	3.967346	8.98E-42
ADGRF1	3.964896	2.21E-17
G7779	3.956173	2.35E-28
G3386	3.950873	2.47E-09
IGHG4	3.941422	0.000848
TNPO1P3	3.939488	1.50E-15
SPRR3	3.931818	2.15E-09
IFNE	3.91897	4.32E-09
KRT16P6	3.907786	5.25E-19
HTR3A	3.900296	1.62E-24
TMPRSS4	3.874472	1.12E-46
TEX11	3.841921	4.18E-13
LGALS9B	3.834596	2.23E-15
DEFB103A	3.816073	9.68E-12
IFI27	3.812903	5.67E-24
CAMP	3.795059	8.74E-12
LINC01605	3.79282	3.20E-50
XLOC_002825	3.771217	1.92E-19
ALOX15	3.737881	7.86E-44
MMP10	3.730292	2.50E-07
TGM6	3.726407	2.86E-09
CHRNA6	3.674812	4.42E-10
C1QTNF1_AS1	3.670097	5.09E-23
ANKRD20A5P	3.658002	9.92E-18
XLOC_007895	3.65497	5.87E-12
VNN3	3.65464	8.01E-13
TRIM15	3.647863	1.44E-27
RP11_527N22.2	3.641279	7.21E-27
CHI3L2	3.63928	4.22E-41
AC004870.5	3.621692	1.45E-11
RP11_757O6.6	3.602933	3.69E-07
NELL2	3.589575	3.41E-30
ANKRD34C	3.578918	1.41E-09
TRIM10	3.566071	3.23E-36
LINC00473	3.52675	1.81E-13
IL6	3.505674	4.52E-07
SNORD39	3.497681	2.55E-08
C10orf99	3.496364	4.98E-51
KRT16P2	3.494686	6.10E-17
CCL17	3.482405	1.12E-18
TREML2	3.480685	2.84E-21
MMP3	3.461585	1.86E-09
C6orf223	3.452564	3.43E-21
HS3ST3A1	3.432907	4.43E-26
G16208	3.427504	1.62E-05
OASL	3.413004	3.26E-19
TEX15	3.412311	9.16E-12
G34083	3.41201	8.90E-08
ADAMDEC1	3.40852	2.87E-10
CCL1	3.395548	3.81E-08
CNGB1	3.391268	1.74E-18
ARL14	3.383139	2.52E-22
PRSS22	3.373635	2.50E-49
KLHDC7B	3.362017	1.98E-19
XLOC_008968	3.350754	9.97E-08
COL6A6	3.346821	4.05E-31
CTC_490G23.2	3.318588	4.21E-06
CTA_384D8.31	3.309705	3.96E-10
RP11_7F17.7	3.302987	1.69E-06
G13883	3.301461	6.32E-18
SPRR1A	3.284526	1.84E-27
RHCG	3.282843	2.08E-15
SOCS3	3.270563	8.18E-51
XLOC_008878	3.266747	8.75E-16
OR2I1P	3.260123	2.71E-10
GPR158	3.25737	3.38E-13
RP11_398B16.2	3.253963	4.07E-07
CD1B	3.246481	7.22E-21
LCE3B	3.241658	0.008546
OSM	3.238672	2.77E-13
OLFM4	3.237849	1.25E-08
SPRR1B	3.234255	1.07E-37
AC011288.2	3.225907	3.85E-05
SERPINE1	3.225314	3.29E-27
TNIP3	3.225181	1.99E-12
G41001	3.218165	5.86E-34
CXCL11	3.19535	1.06E-08
CHAC1	3.19479	4.65E-16
RP4_529N6.2	3.187041	1.48E-25
IL2RA	3.172486	1.30E-24
CXCL10	3.15485	5.64E-09
AC112721.2	3.149462	2.51E-05
IL4I1	3.139445	2.27E-29
TEX101	3.138589	4.21E-25
ZP4	3.135421	0.006444
ENKUR	3.119704	2.02E-18
AC079325.6	3.114139	5.28E-07
RP11_402P6.9	3.104719	2.53E-19
RND1	3.094658	8.66E-16
FMO2	3.087115	5.53E-21
IGFL1	3.074503	2.03E-12
CXCL9	3.073766	7.32E-09
XLOC_004198	3.069477	2.18E-17
MIR3945HG	3.064945	5.08E-05
RP11_414J4.2	3.032542	4.39E-06
RP11_63P12.7	3.031176	4.03E-06
EPGN	3.028161	4.20E-14
LAIR2	3.003797	4.11E-06
RNU6_140P	3.003749	1.65E-09
C12orf74	3.001163	6.19E-07
G8260	2.991248	8.79E-09
SPRR2E	2.990546	3.54E-33
KRT16P3	2.979596	7.30E-16
CTA_384D8.35	2.978826	1.89E-20
AC027612.4	2.97071	1.05E-06
EGR4	2.968861	4.68E-07
KRT16P5	2.965482	3.30E-12
CLCN1	2.962577	1.13E-12
RP11_243E13.2	2.953819	6.87E-09
CCL7	2.947026	2.34E-05
GPRIN1	2.942196	3.64E-43
CTLA4	2.930417	9.80E-19
TNFRSF9	2.923096	1.33E-20
RN7SL142P	2.91889	7.12E-05
ADAMTS4	2.916299	1.03E-27
ULBP2	2.915344	5.43E-21
RP11_350J20.12	2.911498	2.96E-29
GJB2	2.898237	2.76E-38
ADAM19	2.891842	3.38E-41
TRIM40	2.891296	5.61E-07
RP11_416L21.2	2.864064	0.000322
HRH2	2.850676	1.47E-24
RP11_15F12.6	2.843888	9.94E-14
RP5_884M6.1	2.842545	0.003464
PPP1R3C	2.818687	8.15E-35
CH25H	2.803182	1.56E-20
MATK	2.798138	3.70E-33
CCL13	2.796754	1.53E-19
TYMP	2.792148	2.87E-44
G32308	2.78894	8.77E-08
SLAMF9	2.778623	2.73E-09
GZMB	2.773662	2.84E-16
AREG	2.77054	2.79E-11
CLEC7A	2.764107	4.28E-64
CSF2	2.763723	1.07E-12
RNU6_745P	2.757908	0.000155
NR4A3	2.754107	3.93E-35
AOX2P	2.743497	2.34E-06
CLLU1	2.737376	7.28E-06
G26457	2.730295	4.95E-06
