Gene_Symbol	log2FC	p-value
SERPINB4	3.97	1.40E-02
MMP12	3.63	1.30E-03
KRT16	3.6	2.40E-04
KRT6C	3.53	2.20E-03
S100A9	3.35	1.50E-02
AKR1B10	3.28	1.30E-03
LTF	2.93	3.70E-03
CCL18	2.87	1.00E-04
COL6A6	2.76	2.00E-04
S100A7A	2.69	1.80E-02
MMP1	2.42	2.50E-02
SELE	2.03	7.40E-04
CCL26	2.01	3.80E-05
LOC100130476	-2.12	5.20E-05
THRSP	-2.13	3.80E-02
HBB	-2.14	1.30E-03
OGN	-2.16	1.40E-05
SLURP1	-2.16	1.40E-02
PSAPL1	-2.17	4.80E-05
SLC46A2	-2.24	1.40E-05
ASPRV1	-2.24	9.00E-03
CTSV	-2.34	4.20E-05
SERPINB7	-2.35	1.30E-03
ELMOD1	-2.36	2.10E-05
CRCT1	-2.38	1.40E-02
LINC00302	-2.43	1.40E-03
CARD18	-2.49	1.20E-04
IGFL2	-2.68	2.30E-06
HSD11B1	-2.69	2.60E-04
C1orf68	-2.79	2.10E-05
CST6	-2.88	4.90E-05
C5orf46	-2.94	5.40E-06
LOR	-2.95	1.90E-04
SERPINA12	-3.01	1.60E-05
BTC	-3.04	3.10E-07
IL37	-3.11	9.30E-07
LCE2B	-3.15	3.10E-04
WIF1	-3.33	1.70E-04
MSMB	-3.36	3.10E-07
