Gene_Symbol	log2FC	p-value
CCL17	5.38	4.00E-07
IL13RA2	4.19	8.80E-08
S100A9	4.02	1.30E-06
SERPINB4	4	4.00E-08
S100A12	3.12	3.70E-05
IL9	3.09	5.60E-05
GPR171	3.02	4.60E-08
CD3D	2.9	1.50E-07
CLEC4G	2.88	1.50E-07
PLAC8	2.85	1.40E-07
S100A8	2.6	3.90E-06
CORO1A	2.57	9.50E-07
LTB	2.48	2.60E-07
S100P	2.45	4.90E-06
IL13	2.44	1.80E-06
CCL19	2.41	7.00E-08
NLRP10	2.41	3.80E-07
HLA-DMA	2.4	5.50E-08
CCL5	2.35	7.00E-05
RAC2	2.34	8.20E-07
LOC100130520	2.33	7.30E-06
HP	2.32	3.50E-04
FCGR3A	2.31	4.00E-08
FCGR3B	2.31	4.00E-08
CD74	2.29	2.60E-07
CD1E	2.28	3.20E-07
GATM	2.25	3.70E-07
EVI2B	2.23	3.00E-07
SAA1	2.2	1.40E-05
HLA-DQA2	2.2	7.70E-07
TNFAIP6	2.16	6.50E-05
IL18BP	2.15	3.40E-06
FCER1A	2.15	5.50E-07
RGS1	2.13	1.70E-05
FERMT3	2.13	1.90E-06
GPR65	2.11	1.90E-05
MRC1	2.09	4.70E-07
CD48	2.08	3.20E-06
PTX3	2.08	2.40E-03
IDO1	2.08	8.80E-06
CSF2RA	2.07	1.50E-06
CD209	2.06	5.50E-07
CLEC4M	2.06	5.50E-07
BATF3	2.05	3.70E-06
GSDMC	2.05	8.80E-06
BPI	2.05	9.60E-07
HLA-DMB	2.04	1.50E-07
POSTN	2.03	5.30E-05
IL6	2.02	9.00E-03
NRAP	-2.01	2.80E-01
FRZB	-2.02	3.40E-05
GLRB	-2.03	5.40E-05
CDO1	-2.03	1.30E-06
PDK4	-2.05	1.30E-03
MB	-2.05	2.00E-01
ANKRD1	-2.14	3.40E-01
ABCD2	-2.15	2.90E-05
TMEM182	-2.16	1.10E-03
TNNT3	-2.22	2.20E-01
CA3	-2.24	1.90E-03
FHL1	-2.25	8.70E-07
MYOZ1	-2.36	2.20E-01
LEP	-2.46	9.90E-06
FMO2	-2.51	9.80E-06
ASB5	-2.54	1.60E-01
MYH1	-2.65	2.00E-01
MYBPC1	-2.73	1.20E-01
KLHL41	-2.86	2.20E-01
CSRP3	-3.02	2.10E-01
ACTA1	-3.32	1.00E-01
CKM	-3.51	9.40E-02
MYLPF	-3.65	8.70E-02
TNNC2	-3.71	7.60E-02
MYL1	-3.8	1.10E-01
MYH2	-4.91	4.40E-02
